,smilles  ,molecularforma,ROMol
33,COc1cc(N2CCC(N3CCCOCC3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3c(c2P(C)(C)=O)OCCO3)n1              ,C32H42BrN6O5P,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a2dc0>
34,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCC1C2COCC21                            ,C26H27ClFN5O3,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a2d50>
35,CCc1cc(Nc2ncc(Br)c(Nc3ccc4c(c3P(C)(C)=O)OCCO4)n2)c(OC)cc1N1CCC(N2CC(COC)C2)CC1           ,C33H44BrN6O5P,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a2ce0>
36,COc1ccc(-c2cc(=O)cc(-c3ccc(OC)cc3)o2)cc1                                                 ,C19H16O4,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a2c70>
37,COc1cc(N2CCC(N3CCN(C)CC3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1              ,C32H41BrN9O2P,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a2c00>
38,C=CC(=O)Nc1nc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1/C=C/CCN1CCOCC1                                 ,C24H24ClFN6O2,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a2b90>
39,N#CCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1                                                  ,C17H12BrN5O,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a2b20>
40,CCCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCCC                                                    ,C20H22BrN3O2,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a2ab0>
41,C=CC(=O)Nc1cc(Nc2ncc(C(F)(F)F)c(-c3cn(C4COC4)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C            ,C31H34F3N7O3,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a2a40>
42,Oc1cc2ncnc(Nc3cccc(Br)c3)c2cc1O                                                          ,C14H10BrN3O2,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a29d0>
43,CCc1cc(Nc2ncc(Br)c(Nc3ccn4ncnc4c3P(C)(C)=O)n2)c(OC)cc1N1CCC(N2CCOCC2)CC1                 ,C30H39BrN9O3P,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a2960>
44,OCC(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1                                                    ,C16H16BrN5O2,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a28f0>
45,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCC                                             ,C19H16ClFN4O2,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a2880>
46,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C4CC4)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C                       ,C30H35N7O2,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a2810>
47,CNc1cc2c(Nc3cccc(Cl)c3)ncnc2cn1                                                          ,C14H12ClN5,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a27a0>
48,OCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1                                                        ,C15H14BrN5O,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a2730>
49,C=CC(=O)Nc1cccc(-n2c(=O)c(-c3ccccc3)cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1              ,C34H33N7O3,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a26c0>
50,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(S(=O)(=O)N(C)C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C              ,C29H36N8O4S,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a2650>
51,COc1cc(CO)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1                                      ,C22H22N4O3,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a25e0>
52,CCOc1ccccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1                                         ,C22H22N4O2,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a2570>
53,OCc1ccc(-c2cc3c(N[C@H](CO)c4ccccc4)ncnc3[nH]2)cc1                                        ,C21H20N4O2,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a2500>
54,CC(C)c1cnc(N2C[C@H](CS(C)(=O)=O)[C@H]2C)c2cnc(Nc3ccnc(N4CC[C@@H](O)[C@@](C)(F)C4)n3)cc12 ,C27H36FN7O3S,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a2490>
55,CCC(=O)Nc1cccc(-c2c(-c3ccc(N4CCN(C)CC4)cc3)[nH]c3ncnc(OCC(C)C)c23)c1                     ,C30H36N6O2,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a2420>
56,CC(C)c1ccc(N2CC(CS(C)(=O)=O)C2)c2cnc(Nc3ccnc(N4CC[C@@H](O)[C@@](C)(F)C4)n3)cc12          ,C27H35FN6O3S,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a23b0>
57,CN1CCC(c2ccc(-c3ccc4ncn(C(C(=O)Nc5nccs5)c5ccccc5)c(=O)c4c3)cc2)CC1                       ,C31H29N5O2S,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a2340>
58,CN1CCC(c2ccc(-c3ccc4c(c3)C(=O)N(C(C(=O)Nc3nccs3)c3cccc(F)c3)C4)cc2)CC1                   ,C31H29FN4O2S,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a22d0>
59,COc1cc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2cc1OC                                                   ,C16H12Cl2FN3O2,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a2260>
60,Cn1cnc([N+](=O)[O-])c1C[N+](C)(C)C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1.[Br-]         ,C25H26Br2N8O3,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a21f0>
61,Cn1c(C[N+](C)(C)C/C=C/C(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)ccc1[N+](=O)[O-].[Br-]         ,C26H27Br2N7O3,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a2180>
62,Cn1ncc([N+](=O)[O-])c1C[N+](C)(C)C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1.[Br-]         ,C25H26Br2N8O3,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a2110>
63,CN(CCO)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1                                                     ,C16H16BrN5O,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a20a0>
64,C[N+](C)(C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1)Cc1ccccc1[N+](=O)[O-].[Br-]           ,C27H26Br2N6O3,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a2030>
65,C[N+](C)(C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1)Cc1ccc([N+](=O)[O-])cc1.[Br-]         ,C27H26Br2N6O3,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a1fc0>
66,Cn1cc([N+](=O)[O-])nc1C[N+](C)(C)C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1.[Br-]         ,C25H26Br2N8O3,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a1f50>
67,CN1CCN(CCC(=O)Nc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)CC1                                         ,C22H25BrN6O,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a1ee0>
68,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCN/C(=N\C#N)Nc4ccncc4)cc23)c1                             ,C29H28N8O2,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a1e70>
69,OCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1                                                        ,C15H14BrN5O,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a1e00>
70,COc1cc2ncnc(Nc3cccc(C(F)(F)F)c3)c2cc1OC                                                  ,C17H14F3N3O2,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a1d90>
71,CCOC(=O)c1ccccc1Nc1nc(Nc2ccc(OCC(=O)N3CCOCC3)cc2)ncc1Cl                                  ,C25H26ClN5O5,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a1cb0>
72,C=CC(=O)Nc1ccc2c(Nc3cccc(Cl)c3)ncnc2c1                                                   ,C17H13ClN4O,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a1c40>
73,Nc1ccc2c(Nc3cccc(Cl)c3)ncnc2c1                                                           ,C14H11ClN4,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a1bd0>
74,CCc1cc(Nc2ncc(Br)c(Nc3ccc4nccnc4c3P(C)(C)=O)n2)c(OC)cc1N1CCC(N2CCN(C)CC2)CC1             ,C33H43BrN9O2P,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a1b60>
75,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C4CC4)c4ccccc34)n2)c(OC)cc1[S+]([O-])CCN(C)C                 ,C29H32N6O3S,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a1af0>
76,C#Cc1cccc(Nc2ncnc3cc(OCCCCn4ccnc4[N+](=O)[O-])c(OC)cc23)c1                               ,C24H22N6O4,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a1a80>
77,O=C(CCN1CCCCC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1                                            ,C22H24BrN5O,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a1a10>
78,CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)CCN(C)C                                         ,C21H23ClFN5O2,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a19a0>
79,Nc1ccc2sc3c(Nc4cccc(Br)c4)ncnc3c2c1                                                      ,C16H11BrN4S,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a17e0>
80,O=C(CCCCCn1cc(-c2ccc3ncnc(Nc4cccc(Cl)c4F)c3c2)nn1)NO                                     ,C22H21ClFN7O2,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a1930>
81,CN(C)CCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1                                               ,C19H20BrN5O,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a18c0>
82,O=C(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1                                                    ,C15H12BrN5O2,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a1850>
